text,label
i will continue to recommend prime roofing to my clients .,1
delivery was pretty quick & they 're open late .,1
that 's the nicest word i can use to sum up our evening .,0
corona bottle ) stuck in it .,0
took another _num_ mins to get our orders taken .,0
has become one of my favorite breakfast spots .,1
great food and prices are perfect .,1
why bother with reservations !,0
"i told them when i needed it by , and they said no problem .",0
"we typically see dr jennifer johnson and she is kind , funny and smart .",1
we walked out - never willing to give it another shot .,0
what a waste of $ _num_ .,0
for shame .,0
highlights were gorgeous .,1
it took _num_ minutes to get my drink .,0
very disappointing .,0
staff is always friendly and helpful .,1
highly recommend !,1
their estimates are spot on .,1
i wo n't go out of my way though .,0
enjoy this wonderful establishment !,1
"get the lobster roll , it is worth every penny and more !",1
the food and service is always worth the stop .,1
it was pretty bland .,0
i am wondering why do n't they spend the money to update it ?,0
"last week , i got a large and went back for more .",0
manager who made my sandwich was friendly and helpful .,1
we had great items and were stuffed and very satisfied !,1
now the store is easy to navigate and many renovations have taken place .,1
chase is worse then them and that is n't saying much .,0
this is by far one of the best lunch spots in town .,1
pissed me off .,0
bacon wrapped shrimp and stuffed shrimp .,0
thanks to a fellow yelper for introducing me !,1
"fast , affordable and reliable .",1
instead we just walked out and did n't tip them .,0
so basically i paid $ _num_ for a stretch limo ride for _num_ minutes .,0
there was almost no parking available and the stores were overcrowded .,0
and you can bring your own wine or beer !,1
the vets and techs are fantastic .,1
i would give this place a zero if i could !,0
unfortunately with me it was n't planned or expected .,0
kudos !,1
easy to see the stage .,1
best night i 've had at this location !,1
definitely a must if you like fajitas !,1
everything always arrives hot when i order delivery .,1
"the variety of beer was pretty poor , too .",0
love this place .,1
consistently a good experience .,1
i probably would have liked it more if i had started with it though .,0
"i am livid , as are the other one star reviews .",0
very good price .,1
their kitchen closes way too early !,0
Positive,1
i love the green salad they bring plus all the sides .,1
i will definitely be returning !,1
so disappointing !,0
we love this place for lunch !,1
we first walked in and no one greeted us .,0
"the egg roll was soggy and greasy , just nasty .",0
the carousel does n't seem safe to ride .,0
loyal customer here .,1
i absolutely love hillstone .,1
"quiet you think , but she knows what you want , just tell her .",1
i 'm so glad i found lee lee !,1
from the moment you walk in they treat you like you are family .,1
i was buying this for my _num_ year old son .,0
she gives the best deep tissue massage in all of vegas .,1
i would strongly recommend all about you to everyone !,1
decent wine selection by the glass .,1
they have my highest recommendation .,1
our son enjoys the calamari .,1
i would give zero stars if i could .,0
and their food is amazing and always so fast !,1
women who did my nails was terrible and rude !,0
pickup at airport was smooth .,0
usually you are n't even asked if you want it .,0
we 've been here a few times and love it .,1
the staff was very friendly and i would definitely recommend this business .,1
this is a nice course .,1
"the food is good , service is good and atmosphere is great !",1
"so , again , avoid this place at all costs .",0
excellent food !,1
i love capastrami here .,1
unacceptable !,0
they change their menu base on fresh food they get .,1
went with a group of _num_ ( or so ) around christmas _num_ .,0
the sweet potato side dish that everyone seemed to be getting was awful .,0
what a disappointment !,0
),1
i explained to her that i threw it away by accident .,0
they consistently under cook .,1
"nice ambiance , a very cozy place with efficient and friendly service .",1
"could n't wait to leave , definitely not recommending this place .",0
ugh .,0
food was very good and service was great .,1
i love this place .,1
crab rangoons are a particularly nice treat .,1
you could tell the pita and hummus were both fresh .,1
this is absolute the worst place to enjoy a movie experience .,0
now i just cant wait to move out .,0
my favorite place to take my family !,1
thank god im one of the few that has not got bed bugs !,0
"in it , and it was super good !",1
worst service .,0
"wow , it was so delicious .",1
ordering online through yelp was fun and easy .,1
they have a huge inventory and really great prices .,1
no thank you .,0
this did not wow me at all .,0
"really bland tasting food , and annoying atmosphere , as well as annoying staff .",0
the first dish that came out was the walnut shrimp .,0
nice motel .,1
maybe i just expect too much .,0
we sat in the lounge for dinner and it was elegant and intimate .,1
we love their soups and entrees .,1
so great !,1
the service here is really good .,1
they have the best passion fruit tea ever !,1
it was a fuck yeah moment !,1
"worth the upgrade cost in exchange for the happy hour , breakfast and view .",1
a great place to go for german food !,1
i wish that were an exaggeration .,0
_num_ .,0
the salad and steak sauce tasted like cleaner .,0
the bartenders are always friendly .,1
the people that work there are so nice and helpful !,1
i love great customer service and it seems very hard to find lately .,1
"great food , great drinks , great atmosphere , and a great staff !",1
i have seen larger selections at most grocery stores .,0
the best and most authentic chinese restaurant in pittsburgh .,1
service was excellent .,1
great for croissants in the morning .,1
goodness gracious i love this place !,1
nice atmosphere .,1
it 's not a good establishment and certainly did n't meet my standards .,0
overall the food was hit or miss .,0
the front desk clerk would not get off the phone .,0
"i prefer a sprouts , safeway , or frys .",0
holy crap this is an amazing meal !,1
and ive gone in and out twice cause she didnt properly check my bags .,0
